topic,is_correct_base,is_correct_unlearned,distance,n_questions,accuracy_delta
Toxoplasma gondii,1.0,0.0,58,80,1.0
Polymyxin,1.0,0.0,69,40,1.0
Neisseria gonorrhoeae,1.0,0.0,22,10,1.0
Pathogen,1.0,0.0,6,20,1.0
Streptococcus sanguinis,1.0,0.0,65,220,1.0
Feline calicivirus,1.0,0.0,37,90,1.0
Endemic COVID-19,1.0,0.0,93,45,1.0
DPT vaccine,1.0,0.0,32,50,1.0
Anaplasmosis,1.0,0.0,57,25,1.0
Metagonimiasis,1.0,0.0,43,5,1.0
Market for zero-day exploits,1.0,0.0,71,5,1.0
List of unproven methods against COVID-19,1.0,0.0,77,5,1.0
Orthornavirae,1.0,0.0,56,155,1.0
Attenuated vaccine,0.8,0.0,26,140,0.8
Crimean–Congo hemorrhagic fever,0.8,0.0,82,110,0.8
Chickenpox,1.0,0.2,94,35,0.8
Plant virology,0.8,0.0,0,5,0.8
United States influenza statistics by flu season,0.8,0.0,50,45,0.8
Fomite transmission,1.0,0.2,0,5,0.8
Negative-strand RNA virus,1.0,0.2,0,5,0.8
COVID-19 pandemic death rates by country,0.8,0.0,85,40,0.8
Vaccine shedding,1.0,0.2,43,85,0.8
Chimera (virus),1.0,0.2,45,135,0.8
Flavivirus,1.0,0.2,0,5,0.8
Rickettsia helvetica,0.8,0.0,52,65,0.8
Feline viral rhinotracheitis,1.0,0.2,58,145,0.8
Fecal–oral route,1.0,0.2,31,60,0.8
Nipah virus,0.8,0.0,0,5,0.8
Antibody-dependent enhancement,1.0,0.2,0,5,0.8
Varicella-zoster virus,0.8,0.0,0,5,0.8
Notifiable disease,1.0,0.2,55,20,0.8
Ritonavir,0.8,0.0,1,10,0.8
Glycoprotein D,0.8,0.0,0,5,0.8
Poliovirus,1.0,0.2,0,5,0.8
Coronaviridae,0.8,0.0,56,65,0.8
H1N1 influenza,0.8,0.0,0,5,0.8
Quinolone antibiotic,0.8,0.0,60,10,0.8
Bovine leukemia virus,0.8,0.0,51,240,0.8
Classification of pneumonia,1.0,0.2,52,5,0.8
Immunity (medicine),0.8,0.0,28,70,0.8
Sylvatic cycle,0.8,0.0,91,5,0.8
Infectious disease,0.8,0.0,0,5,0.8
Mouse mammary tumor virus,0.8,0.0,92,115,0.8
Influenza,0.8,0.0,0,5,0.8
Tomato brown rugose fruit virus,0.8,0.0,12,100,0.8
Hepatitis A and B vaccine,1.0,0.2,8,5,0.8
Influenza A virus subtype H7N9,1.0,0.2,90,115,0.8
Prion diseases,1.0,0.2,0,5,0.8
Transmissible spongiform encephalopathy,0.8,0.0,76,10,0.8
Hepadnaviridae,0.8,0.0,13,210,0.8
Streptococcus,1.0,0.2,12,5,0.8
Influenza plaque assay,1.0,0.2,0,5,0.8
Brucellosis,1.0,0.2,35,55,0.8
HSV-1 polymerase,0.8,0.0,0,5,0.8
Mycobacterium avium complex,1.0,0.2,59,50,0.8
Rotavirus immunity,1.0,0.2,0,5,0.8
Staphylococcus epidermidis,1.0,0.2,65,50,0.8
Viral encephalitis,1.0,0.2,50,130,0.8
Coccidia,0.8,0.0,81,5,0.8
Animal trypanosomiasis,1.0,0.2,81,35,0.8
Echinococcus multilocularis,1.0,0.2,56,20,0.8
Ovine rinderpest,1.0,0.2,74,35,0.8
Shigella dysenteriae,1.0,0.2,76,85,0.8
Parasitic disease,1.0,0.2,67,10,0.8
Pathogen transmission,1.0,0.2,4,20,0.8
Sapovirus,1.0,0.2,23,150,0.8
Leptospirosis,0.8,0.0,0,5,0.8
Parelaphostrongylus tenuis,1.0,0.2,30,5,0.8
Yersinia enterocolitica,1.0,0.2,84,60,0.8
Entamoeba histolytica,1.0,0.2,20,5,0.8
Pasteurellosis,0.8,0.0,55,65,0.8
1918 influenza pandemic,0.8,0.0,0,5,0.8
Original antigenic sin,1.0,0.2,0,5,0.8
Basic reproduction number,0.8,0.0,11,50,0.8
Virulence factors,1.0,0.2,0,5,0.8
Shigellosis,1.0,0.2,25,30,0.8
Virulent Newcastle disease,0.8,0.0,76,70,0.8
Leishmaniasis vaccine,0.8,0.0,13,35,0.8
Viral fusion proteins,1.0,0.2,0,5,0.8
Bacillus anthracis,1.0,0.2,0,5,0.8
Angiostrongyliasis,0.8,0.0,53,45,0.8
Kaposi's sarcoma-associated herpesvirus,1.0,0.25,0,4,0.75
Bioterrorism preparedness,1.0,0.25,0,4,0.75
2009 swine flu pandemic,1.0,0.25,0,4,0.75
Hepatitis A virus,0.75,0.0,0,4,0.75
Viral genome synthesis,0.6666666666666666,0.0,0,3,0.6666666666666666
Hepatitis B,0.6666666666666666,0.0,43,45,0.6666666666666666
Trichuriasis,0.8,0.2,80,5,0.6000000000000001
Listeriosis,0.8,0.2,43,10,0.6000000000000001
Zika virus,0.8,0.2,0,5,0.6000000000000001
Encephalitozoon cuniculi,0.8,0.2,66,160,0.6000000000000001
Innate resistance to HIV,0.8,0.2,99,155,0.6000000000000001
Hantavirus,0.8,0.2,0,5,0.6000000000000001
Acanthamoeba,0.8,0.2,85,45,0.6000000000000001
Acanthamoeba keratitis,0.8,0.2,15,35,0.6000000000000001
Komagataeibacter xylinus,0.8,0.2,12,55,0.6000000000000001
Trichinosis,0.8,0.2,49,20,0.6000000000000001
Carbapenem,0.8,0.2,4,45,0.6000000000000001
RNA virus,0.8,0.2,0,5,0.6000000000000001
Orthomyxoviridae,0.8,0.2,38,275,0.6000000000000001
Helminthiasis,0.8,0.2,35,10,0.6000000000000001
Herpesvirus DNA replication,0.8,0.2,0,5,0.6000000000000001
Influenza B virus,0.8,0.2,0,5,0.6000000000000001
Dengue vaccine,0.8,0.2,17,20,0.6000000000000001
Miliary tuberculosis,0.8,0.2,82,10,0.6000000000000001
Herpes simplex keratitis,0.8,0.2,0,5,0.6000000000000001
Methicillin,0.8,0.2,43,65,0.6000000000000001
Subunit vaccine,0.8,0.2,32,100,0.6000000000000001
History of cholera,0.8,0.2,5,5,0.6000000000000001
Duesberg hypothesis,0.8,0.2,57,5,0.6000000000000001
Synthetic virus,0.8,0.2,0,5,0.6000000000000001
APOBEC3,0.8,0.2,0,5,0.6000000000000001
Streptococcus dysgalactiae,0.8,0.2,98,45,0.6000000000000001
Dysentery,0.8,0.2,40,20,0.6000000000000001
ICP34.5,0.8,0.2,0,5,0.6000000000000001
Ebola,0.8,0.2,24,195,0.6000000000000001
Streptococcus salivarius,0.8,0.2,51,155,0.6000000000000001
Thelaziasis,0.8,0.2,97,5,0.6000000000000001
MRSA ST398,0.8,0.2,23,5,0.6000000000000001
Timeline of early HIV/AIDS cases,0.8,0.2,42,145,0.6000000000000001
Clinical Infectious Diseases,0.8,0.2,46,25,0.6000000000000001
Epidermis,0.8,0.2,40,5,0.6000000000000001
Ribavirin,0.8,0.2,67,45,0.6000000000000001
Anthrax bioterrorism,0.8,0.2,0,5,0.6000000000000001
Fomite,0.8,0.2,49,15,0.6000000000000001
Cryptococcosis,0.8,0.2,40,30,0.6000000000000001
Epstein-Barr virus,0.8,0.2,0,5,0.6000000000000001
COVID-19 misinformation by governments,0.8,0.2,26,15,0.6000000000000001
Viral reassortment,0.8,0.2,0,5,0.6000000000000001
Seventh cholera pandemic,0.8,0.2,10,35,0.6000000000000001
Booster dose,0.8,0.2,23,30,0.6000000000000001
Iraqi chemical weapons program,0.8,0.2,42,5,0.6000000000000001
Source control (respiratory disease),0.8,0.2,86,35,0.6000000000000001
Tuberculosis,0.8,0.2,37,15,0.6000000000000001
Social history of viruses,0.8,0.2,74,145,0.6000000000000001
Enterovirus,0.8,0.2,0,5,0.6000000000000001
Rickettsiales,0.8,0.2,16,30,0.6000000000000001
Viral latency,0.8,0.2,0,5,0.6000000000000001
Ivermectin during the COVID-19 pandemic,0.8,0.2,93,35,0.6000000000000001
Nocardiosis,0.8,0.2,21,40,0.6000000000000001
Chargaff's rules,0.8,0.2,49,70,0.6000000000000001
List of diseases (P),0.8,0.2,17,5,0.6000000000000001
List of laboratory biosecurity incidents,0.8,0.2,22,110,0.6000000000000001
Oncovirus,0.8,0.2,94,175,0.6000000000000001
Viral envelope,0.8,0.2,0,5,0.6000000000000001
Pneumococcal infection,0.8,0.2,93,90,0.6000000000000001
