"hit_id","article_topic","article_text_truncated","option_1","option_2","option_3","option_4","correct_option_position","distractor_1","distractor_1_rank_distance","distractor_2","distractor_2_rank_distance","distractor_3","distractor_3_rank_distance","topic_distance_from_base"
"0","Mining in Roman Britain","• Mining was one of the most prosperous activities in Roman Britain, with the region rich in copper, gold, iron, lead, salt, silver, and tin - resources in high demand throughout the Roman Empire. • The abundance of mineral resources in Britain was likely one of the primary reasons for the Roman conquest, as metals were essential for coinage and luxury goods for the elite. • Romans achieved remarkable speed in establishing mining operations, having lead mines in Mendip, Derbyshire, Shropshire, Yorkshire and Wales running at full capacity by 49 AD - just six years after the invasion. • By 70 AD, Britain had surpassed Hispania (Spain) as the leading lead-producing province in the Roman Empire, prompting Spanish complaints to Emperor Vespasian who imposed production limits. • Lead mining was crucial because lead was essential for Roman infrastructure (aqueducts, plumbing, gutters) and served as the primary source for silver extraction through a process called cupellation. • British lead was exported throughout the empire - research has confirmed that Somerset lead was used in Pompeii before its destruction in 79 AD. • Tin mining in Britain had prehistoric roots dating to 2000 BC, with Cornish tin ingots from the second millennium BC found as far away as shipwrecks off the Levantine coast. • The Romans used advanced extraction technology that remained unequaled until the Middle Ages, including sophisticated smelting processes that separated silver from lead at temperatures up to 1100°C. • When official Roman coins were debased in the third century AD, counterfeit mints in Somerset produced superior quality silver coins using local Mendip silver.","Mining in Roman Britain","Proto-Italic language","Greek Magical Papyri","List of the Dead Sea Scrolls","1","Greek Magical Papyri","204","Proto-Italic language","139","List of the Dead Sea Scrolls","119","350"
"1","Faraday constant","• The Faraday constant (symbol F) is defined as the quotient of total electric charge by the amount of elementary charge carriers in a sample: F = q/n, expressed in coulombs per mole (C/mol). • It represents the 'molar elementary charge' - the electric charge of one mole of elementary carriers (such as protons or electrons). • The constant is named after English scientist Michael Faraday and has an exactly defined value since the 2019 SI revision: F = 9.64853321233100184×10⁴ C/mol. • The Faraday constant equals the product of the elementary charge (e) and Avogadro constant (NA): F = e × NA. • It serves as a proportionality factor between charge in coulombs (physics) and amount of substance in moles (chemistry), making it particularly useful in electrochemistry and electrolysis calculations. • The value was first determined in the 1800s by measuring silver deposited in electrochemical reactions using Faraday's law of electrolysis. • The related unit 'faraday' represents the charge of one mole of elementary charges: 1 faraday = 9.64853321233100184×10⁴ C. • Common alternative units include 96.485 kJ per volt–gram-equivalent and 26.801 A·h/mol.","Negative resistance","EBUS (serial buses)","Electric Reliability Council of Texas","Faraday constant","4","Electric Reliability Council of Texas","162","EBUS (serial buses)","211","Negative resistance","202","350"
"2","Typhoon Ampil (2024)","• Typhoon Ampil was the seventh named storm and third typhoon of the 2024 Pacific typhoon season, originating from atmospheric convection east of Kadena Air Base in early August. • The typhoon reached peak intensity on August 15-16, 2024, with sustained winds of 205 km/h (125 mph) and became a Category 3-equivalent storm, making it the first storm in the 21st century to reach the 34th parallel north at Category 3+ strength in the Western Pacific. • Ampil made its closest approach to Japan on August 16, prompting evacuation orders for over 404,000 people (178,000 households) in Tokyo and surrounding areas during Japan's Obon holiday week. • The typhoon caused significant transportation disruptions in Japan, with numerous flights and trains cancelled, though damage was minimal with only four reported injuries in the Kantō region. • After weakening, Ampil underwent extratropical transition on August 19 and its remnants traveled across the Bering Sea, Aleutian Islands, and into Arctic Alaska before dissipating on August 23. • The storm's remnants brought high surf, strong winds, and coastal flooding advisories to western Alaska, and contributed to an atmospheric river system that was expected to reach California. • Ampil struck Japan shortly after Tropical Storm Maria had caused record rainfall in northern Japan, and was followed one week later by the more powerful Typhoon Shanshan.","North Indian Ocean tropical cyclone","Typhoon Ampil (2024)","Tornado outbreak of April 25–28, 2024","Environmental impact of the Deepwater Horizon oil spill","2","Tornado outbreak of April 25–28, 2024","235","Environmental impact of the Deepwater Horizon oil spill","230","North Indian Ocean tropical cyclone","149","250"
"3","Old Irish grammar","• Old Irish has a complex system of initial consonant mutations where the first consonant of a word changes based on the preceding word, with three main types: lenition (weakening), nasalisation (prepending nasal sounds), and aspiration/gemination. • Initial mutations are crucial for distinguishing grammatical meanings that would otherwise be identical, such as the possessive determiner 'a' meaning 'his,' 'her,' or 'their' based solely on the mutation of the following word. • Lenition involves weakening consonants (like turning plosives into fricatives) and occurs after certain case forms including nominative/vocative singular feminines, dative singular of all genders, and certain prepositions and conjunctions. • Nasalisation (called eclipsis in Modern Irish) involves prepending nasal consonants and occurs after forms like accusative singular of masculines/feminines, genitive plural of all genders, and certain prepositions. • These mutations originated as sandhi effects (sound changes at word boundaries) in Primitive Irish but became grammaticalized when final syllables were lost in the transition to Old Irish. • The spelling of Old Irish often did not indicate mutations, except for some cases like voiceless stops written as 'ph th ch' when lenited, making the grammatical system less visible in written form. • Mutations generally apply within syntactic phrases (like between nouns and adjectives) but typically do not cross phrase boundaries, though some exceptions exist in early Old Irish texts. • The mutation system remains largely unchanged in Modern Irish, demonstrating the stability and importance of this grammatical feature across more than a millennium.","Old Irish grammar","Sociocultural evolution","Lists of battles","Languages used on the Internet","1","Languages used on the Internet","144","Lists of battles","133","Sociocultural evolution","197","150"
"4","25 kV AC railway electrification","• **25 kV AC electrification uses standard utility frequency (50 or 60 Hz), which simplifies traction substations and is ideal for long-distance railways and heavy traffic.** • **The system came into widespread use in the 1950s after earlier experimentation in Hungary and Germany's Black Forest before World War II.** • **Early adoption was limited by the lack of reliable, lightweight rectification equipment and the need for increased clearance under bridges and tunnels for high-voltage components.** • **The first successful operational system was developed by Kálmán Kandó in Hungary in 1931, using 16 kV AC at 50 Hz on the Budapest–Dunakeszi–Alag line.** • **The Deutsche Reichsbahn completed the first railway using this system type in 1936 with a 20 kV 50 Hz AC system on part of the Höllentalbahn, which influenced France's adoption of 25 kV as their standard.** • **Mercury arc rectifiers' unreliability was the main barrier to earlier adoption, as DC series motors required AC-to-DC conversion but rectifiers were unsuitable for locomotive use until the 1950s.** • **Modern high-speed trains like the N700 Shinkansen use complex conversion systems, transforming 25 kV single-phase AC through multiple stages to power three-phase AC induction motors.** • **25 kV was chosen as the optimal voltage balancing power transmission efficiency against equipment costs - higher voltages improve efficiency but require expensive larger insulators and greater structural clearances.** • **The system is vulnerable to weather conditions, with moisture potentially causing short circuits, as demonstrated by the 2009 Eurostar breakdowns in the Channel Tunnel.**","David Lionel Goldsmid-Stern-Salomons","List of power stations in the Republic of Ireland","25 kV AC railway electrification","Moss Landing Power Plant","3","Moss Landing Power Plant","144","List of power stations in the Republic of Ireland","192","David Lionel Goldsmid-Stern-Salomons","230","500"
"5","Ashoka","I notice there may be some confusion here. The article you've provided is actually about 'Ashok' as a given name and lists various people named Ashok, rather than being about Emperor Ashoka (the ancient Indian ruler who is typically the subject of historical articles about 'Ashoka'). However, based on the content provided, here are the key facts about the name Ashok: • Ashok is a given name used across various professions and regions in South Asia • The name is commonly used by notable figures in Indian cinema, including actors like Ashok Kumar (1911–2001) and contemporary performers across Tamil, Kannada, and Hindi films • Several Indian political leaders bear this name, including chief ministers of major states like Ashok Gehlot (Rajasthan) and Ashok Chavan (Maharashtra) • The name appears among professionals in law enforcement and judiciary, including former chiefs of intelligence agencies and judges • Ashok is used by notable figures in literature, such as Tamil writer Ashokamitran (1931–2017) and novelist Ashok Banker • The name extends to various other fields including sports (cricketers), film production, and specialized professions like herpetology • The name has variations and is also used in Sri Lanka (as 'Asoka') If you were looking for information about Emperor Ashoka (the Mauryan ruler), please provide that specific article, as it would contain very different historical content.","Hindu texts","Noakhali riots","Ashoka","Swarup Rani Nehru","3","Noakhali riots","129","Hindu texts","152","Swarup Rani Nehru","249","350"
"6","Portraits of Periodical Offering","• The Portraits of Periodical Offering (職貢圖) were official documentary paintings created by Chinese dynasties and later adopted by other East Asian dynasties like Japan and Vietnam to record tributary relationships and diplomatic exchanges. • These paintings served as historical documents depicting ambassadors from tributary states and tribes who were required to periodically visit the imperial court and pay tribute with valuable gifts. • The earliest surviving example is the Portraits of Periodical Offering of Liang (526–539 CE), painted by future Emperor Yuan of Liang, Xiao Yi, which originally contained at least 25 portraits of ambassadors from various countries including the Hephthalites, Persia, Korea, Japan, and Malaysia. • After the 9th century, these drawings were reproduced using woodblock printing and distributed among the bureaucracy in albums for administrative purposes. • The paintings included short written descriptions alongside the portraits that became equivalent to diplomatic documents, recording cultural aspects and expressions of different ethnic groups and nations. • Notable versions include Tang dynasty works by Yan Liben (circa 650 CE) depicting 27 people from various states, and a Qing dynasty version by Xie Sui completed in 1751 that described peoples as far away as Britain in Western Europe. • Most original works have been lost over time, with only copies surviving - such as an 11th century Song dynasty copy of the Liang portraits currently preserved at the National Museum of China, and a Song copy of Tang portraits at the National Palace Museum in Taipei. • The paintings documented envoys from a vast geographic range including Central Asia (Kucha, Yarkand), Southeast Asia (Malaysia, Champa), South Asia (India, Sri Lanka), East Asia (Korea, Japan), and Persia, demonstrating the extensive reach of Chinese tributary systems.","Stylometry","Lauretta Vinciarelli","Holy Grail","Portraits of Periodical Offering","4","Stylometry","192","Holy Grail","198","Lauretta Vinciarelli","245","250"
"7","Tornado outbreak of April 25–28, 2024","• The tornado outbreak occurred from April 25-28, 2024, primarily affecting the Midwestern, Southern, and High Plains regions of the United States, with peak activity on April 26-27. • A total of 164 tornadoes were confirmed over the two-day period, resulting in 6 fatalities and 150 injuries across multiple states. • The strongest tornado was a violent EF4 that struck Marietta, Oklahoma on April 27, killing one person on I-35 and destroying a large warehouse and grocery store. • On April 26, Nebraska and Iowa were severely impacted, including a high-end EF3 tornado near Lincoln, Nebraska and an EF4 tornado in Elkhorn that prompted tornado emergencies. • April 27 featured a moderate risk forecast with a particularly dangerous situation (PDS) tornado watch issued for Oklahoma, where multiple strong tornadoes caused significant damage and casualties. • Notable tornado impacts included an EF3 tornado that devastated Sulphur, Oklahoma (1 death, 30 injuries) and another EF3 near Holdenville, Oklahoma (2 deaths). • The outbreak scored 87 points on the tornado intensity scale and marked the beginning of a 16-day period of continuous severe weather across the United States lasting until May 10, 2024. • Multiple tornado emergencies were issued during the event, particularly for areas around Elkhorn, Nebraska and Minden, Iowa, indicating imminent threats to populated areas.","2013 Moore tornado","1999 Oklahoma tornado outbreak","List of neuroscience databases","Tornado outbreak of April 25–28, 2024","4","List of neuroscience databases","244","1999 Oklahoma tornado outbreak","156","2013 Moore tornado","137","5"
"8","List of French inventions and discoveries","• France pioneered photography with Nicéphore Niépce creating the first photographic image in 1822 and later collaborating with Louis Daguerre to develop the daguerreotype process. • French inventors created cinema, with Louis Le Prince developing the first motion picture camera and projector, and the Lumière brothers holding the first commercial public screening of films in Paris on December 28, 1895. • The metric system was standardized during the French Revolution as part of the country's scientific and technological developments during this period of change. • Major French contributions to nuclear physics and immunology include Henri Becquerel and Marie Curie's foundational research in nuclear physics, and Louis Pasteur's pioneering work in immunology. • France developed numerous influential art movements including Gothic art (mid-12th century), Rococo (early 18th century), Impressionism (19th century), and Fauvism (early 20th century). • French musical innovations include the invention of the oboe in the mid-17th century, the first mechanical metronome by Étienne Loulié in 1696, and the development of musique concrète in the 1940s by Pierre Schaeffer. • The 18th-century Enlightenment in France, with its emphasis on reason and empirical observation, significantly propelled scientific and technological progress throughout the country. • French inventors made early contributions to aviation through figures like Clément Ader, helping establish France as a pioneer in flight technology.","Industrial policy","Glorious Revolution in Scotland","List of French inventions and discoveries","Technology and society","3","Industrial policy","161","Technology and society","155","Glorious Revolution in Scotland","249","50"
"9","Vermes","• Johannes Vermeer (1632-1675) was a Dutch painter who specialized in domestic interior scenes of middle-class life and is considered one of the greatest painters of the Dutch Golden Age. • He produced relatively few paintings and primarily earned his living as an art dealer, working slowly with great care and using expensive pigments while being particularly renowned for his masterful use of light. • Most of his paintings were set in two small rooms of his house in Delft, showing the same furniture and people (mostly women) in various arrangements. • After his death, Vermeer fell into obscurity for nearly two centuries until he was rediscovered in the 19th century by Gustav Friedrich Waagen and Théophile Thoré-Bürger. • Only 34 paintings are universally attributed to him today, despite earlier claims of 66 works. • In 1653, he married Catholic woman Catharina Bolnes and converted to Catholicism, likely at the insistence of his wealthy mother-in-law Maria Thins. • The couple had 15 children together, though four died before baptization, and they lived in his mother-in-law's spacious house where Vermeer painted in the front room on the second floor. • He was not wealthy during his lifetime and at his death, his wife was left in debt despite his moderate success as a provincial genre painter.","North Country Beagle","Coevolution","Vermes","Sciurus","3","Coevolution","145","North Country Beagle","109","Sciurus","201","200"
