topic,is_correct_base,is_correct_unlearned,distance,n_questions,accuracy_delta
Negative-strand RNA virus,1.0,0.0,0,5,1.0
Antibody-dependent enhancement,1.0,0.0,0,5,1.0
Innate immune system,1.0,0.0,91,115,1.0
DPT vaccine,1.0,0.0,32,50,1.0
Silencer (genetics),1.0,0.0,5,45,1.0
2009 swine flu pandemic,1.0,0.0,0,4,1.0
Comparison of computer viruses,1.0,0.0,62,215,1.0
Chimeric virus,1.0,0.0,0,4,1.0
Suicide vector,1.0,0.0,0,4,1.0
SARS-CoV-2 vaccine,1.0,0.0,0,5,1.0
Influenza virus,1.0,0.0,0,5,1.0
Endogenous viral elements,1.0,0.0,0,5,1.0
Toxoplasma gondii,1.0,0.0,58,80,1.0
Bacillus amyloliquefaciens,1.0,0.0,6,10,1.0
Market for zero-day exploits,1.0,0.0,71,5,1.0
Horizontal gene transfer,1.0,0.0,0,5,1.0
Timeline of the COVID-19 pandemic in Italy,1.0,0.0,44,4,1.0
Viral mutation,1.0,0.0,0,5,1.0
Viral orthologs,1.0,0.0,0,5,1.0
Aedes albopictus,1.0,0.0,0,5,1.0
Flavivirus,1.0,0.0,0,5,1.0
Hemagglutinin,1.0,0.0,0,5,1.0
Protospacer adjacent motif,1.0,0.0,39,110,1.0
Viral immune evasion,1.0,0.0,0,5,1.0
Lumbricidae,1.0,0.2,57,5,0.8
Corbicula fluminea,0.8,0.0,77,5,0.8
Natural reservoir,0.8,0.0,53,40,0.8
Neuraminidase,0.8,0.0,0,5,0.8
Neutralizing antibody,1.0,0.2,0,5,0.8
Virulent Newcastle disease,0.8,0.0,76,70,0.8
Nipah virus,0.8,0.0,0,5,0.8
Nuclease S1,0.8,0.0,98,40,0.8
2024 Baltic Sea submarine cable disruptions,0.8,0.0,60,5,0.8
Coronaviridae,0.8,0.0,56,65,0.8
APOBEC3,0.8,0.0,0,5,0.8
Cross-species transmission,0.8,0.0,71,15,0.8
Viral polymerase,0.8,0.0,0,5,0.8
Viral tropism,1.0,0.2,0,5,0.8
Signal peptide,1.0,0.2,13,35,0.8
Inoculation loop,0.8,0.0,97,10,0.8
Innate resistance to HIV,0.8,0.0,99,155,0.8
Virulence,1.0,0.2,85,75,0.8
Cyberwarfare and the United States,0.8,0.0,53,5,0.8
Shigella,1.0,0.2,85,95,0.8
NKG2D,0.8,0.0,101,60,0.8
Mycotoxin,0.8,0.0,31,10,0.8
Sylvatic cycle,0.8,0.0,91,5,0.8
Vector immunity,1.0,0.2,0,5,0.8
List of cat body-type mutations,0.8,0.0,73,15,0.8
Ant venom,0.8,0.0,85,10,0.8
