"hit_id","article_topic","article_text_truncated","option_1","option_2","option_3","option_4","correct_option_position","distractor_1","distractor_1_rank_distance","distractor_2","distractor_2_rank_distance","distractor_3","distractor_3_rank_distance","topic_distance_from_base"
"0","Lymphogranuloma venereum","Here are the key facts about Lymphogranuloma venereum (LGV): • LGV is a sexually transmitted infection caused by specific invasive serovars (L1, L2, L2a, L2b, L3) of Chlamydia trachomatis bacteria • The infection primarily affects lymphatics and lymph nodes, entering through skin breaks or mucous membrane layers • Before 2003, LGV was considered rare in developed nations, but an outbreak among gay men in the Netherlands led to increased cases in Europe and the United States • The disease progresses in stages: - Primary stage: Painless genital ulcer (often unnoticed) occurring 3-12 days after infection - Secondary stage: Lymph node inflammation, occurring 10-30 days later, with potential complications like proctitis or lymphangitis • Symptoms can vary by sex and route of transmission, with males more likely to experience unilateral lymph node swelling and females often having less noticeable initial symptoms • Late-stage LGV can result in permanent complications like lymphatic obstruction, chronic edema, and strictures • Diagnosis is typically made through serological testing, with complement fixation tests, PCR, and specialized culture methods • The L2b variant (Amsterdam variant) has been identified as a significant strain, particularly among men who have sex with men (MSM) • The infection can lead to serious complications like abscesses, fistulas, and sinus tracts if left untreated","Rickettsia rickettsii","Viviparidae","Silver (color)","Lymphogranuloma venereum","4","Rickettsia rickettsii","202","Silver (color)","157","Viviparidae","241","196"
"1","Negative priming","Here are the key facts about Negative Priming: • Priming is a psychological concept where exposure to one stimulus influences the response to a subsequent stimulus, often without conscious intention • There are two main types of priming: positive priming (which speeds up processing) and negative priming (which slows down processing) • Positive priming occurs through spreading activation, where the first stimulus partially activates a memory representation, making subsequent processing faster • Negative priming is explained by two primary models: the distractor inhibition model and the episodic retrieval model, with recent research leaning away from the distractor inhibition approach • Priming can be categorized into different types, including: - Perceptual priming (based on stimulus form) - Conceptual priming (based on stimulus meaning) - Repetition priming (processing becomes faster with repeated stimuli) - Semantic priming (related to shared semantic categories) • In 2012, much priming research was challenged during the replication crisis, with many landmark studies unable to be reproduced • Priming works most effectively when stimuli are in the same modality (e.g., visual-to-visual or verbal-to-verbal), but can also occur across different modalities • Priming effects can occur even when the prime stimulus is not consciously perceived • The speed and mechanism of priming effects remain a topic of ongoing scientific debate and research","Lloyd's algorithm","Negative priming","Marasuchus","Discovery (law)","2","Discovery (law)","128","Marasuchus","201","Lloyd's algorithm","171","488"
"2","Basic reproduction number","Here are the key facts about the Basic Reproduction Number (R0): • R0 represents the expected number of cases directly generated by one case in a population where all individuals are susceptible to infection • When R0 > 1, an infection can spread in a population; when R0 < 1, the infection will not sustain transmission • R0 is a dimensionless number (persons infected per person) and is not a biological constant, as it can be affected by environmental conditions and population behavior • The herd immunity threshold requires immunizing a proportion of the population greater than (1 - 1/R0) to prevent sustained disease spread • R0 is influenced by multiple factors, including: - Duration of infectivity - Contagiousness of the microorganism - Number of susceptible people in the population • The concept was first modernly applied in epidemiology by George Macdonald in 1952 while studying malaria transmission • R0 can be estimated using various methods, including: - Compartmental models - Epidemic models on networks - Accounting for population heterogeneity • R0 is primarily used to: - Determine if an emerging infectious disease can spread - Calculate the proportion of population needing immunization to eradicate a disease","Maitotoxin","Glycine (plant)","Basic reproduction number","Human body","3","Maitotoxin","121","Glycine (plant)","172","Human body","153","816"
"3","Megachile pluto","Here are the key facts about Megachile pluto (Wallace's giant bee): • Largest known living bee species, with females reaching a wingspan of up to several centimeters and being 'as long as an adult's thumb' • Native to three islands in the North Moluccas, Indonesia: Bacan, Halmahera, and Tidore, primarily inhabiting primary lowland forests • Originally discovered by Alfred Russel Wallace in 1858, then believed extinct until rediscovered in 1981 by Adam C. Messer • Exhibits strong sexual dimorphism, with females having significantly larger bodies and distinctive large jaws compared to males • Builds nests inside active termite colonies (specifically Microcerotermes amboinensis), using tree resin to create protective compartments • Uses its large jaws to gather and transport balls of tree resin, particularly from Anisoptera thurifera trees • Considered vulnerable by the International Union for Conservation of Nature due to habitat loss from oil palm plantations • Rarely observed, with only sporadic sightings: rediscovered in 1981, two specimens sold on eBay in 2018, and first live female filmed in 2019 • Part of Global Wildlife Conservation's 'Search for Lost Species' initiative, listed among the 25 'most wanted' lost species","Lactic acid bacteria","2023–24 South Pacific cyclone season","Megachile pluto","Youngest Toba eruption","3","Lactic acid bacteria","160","2023–24 South Pacific cyclone season","108","Youngest Toba eruption","156","827"
"4","Proto-Human language","Here are the key facts about Proto-Human language: • Proto-Human language is a hypothetical, speculative concept proposing a single genetic predecessor for all human languages, presumably originating in the Middle Paleolithic period • The first serious scientific attempt to establish this 'monogenesis' was by Alfredo Trombetti in 1905, who estimated the common language ancestor was spoken between 100,000 and 200,000 years ago • Scholars disagree on the exact emergence of complex human language, with estimates ranging from 50,000 to 350,000 years ago, often linked to the development of behavioral modernity • A 2011 scientific article suggested human language originated in Africa and predated the out-of-Africa migrations of 50,000 to 70,000 years ago • Notable advocates of linguistic monogenesis include Morris Swadesh, Joseph Greenberg, Merritt Ruhlen, and John Bengtson • The concept remains highly speculative and is not widely accepted in mainstream historical linguistics • Some linguists, like Christopher Ehret, hypothesize that Proto-Human might have had a complex consonant system, potentially including click sounds • Researchers like Ruhlen have attempted to identify 'global etymologies' - words potentially traceable to this hypothetical ancestral language • There are competing theories about the basic word order of Proto-Human, with proposals including SVO (subject-verb-object) and SOV (subject-object-verb)","Comparison of Japanese and Korean","Uniform Resource Identifier","Proto-Human language","Holotype","3","Holotype","230","Uniform Resource Identifier","202","Comparison of Japanese and Korean","107","242"
"5","Uracil","Here are the key facts about Uracil: • Uracil is one of the four nucleotide bases in RNA, binding with adenine via two hydrogen bonds • Unlike DNA, which uses thymine, RNA uses uracil as a nucleobase (uracil is a demethylated form of thymine) • Uracil was first discovered in 1900 by Alberto Ascoli, isolated from yeast nuclein and found in various biological sources like bovine thymus and wheat germ • Extraterrestrial uracil has been detected in the Murchison meteorite and near-Earth asteroid Ryugu, suggesting potential origins beyond Earth • In biological systems, uracil can be synthesized by decarboxylating orotidine 5'-monophosphate, with the enzyme UMP synthase facilitating this process in humans • Uracil is rarely found in DNA, likely an evolutionary adaptation to increase genetic stability by preventing potential mutations from cytosine deamination • The molecule can undergo tautomeric shifts between lactam and lactim structures, with the lactam structure being most common at pH 7 • Uracil can be synthesized in laboratory settings through multiple methods, including adding water to cytosine or condensing malic acid with urea in fuming sulfuric acid • NASA scientists have successfully produced uracil under space-like conditions by exposing pyrimidine and water ice to ultraviolet light","Hektoen enteric agar","Disk diffusion test","Cladogram","Uracil","4","Hektoen enteric agar","235","Cladogram","228","Disk diffusion test","165","57"
"6","Mailto","Here are the key facts about Mailto: • Mailto is a URI (Uniform Resource Identifier) scheme specifically designed for email addresses • It allows users to create hyperlinks that directly open the default email client with a pre-filled email address • Originally defined in December 1994 (RFC 1738) and subsequently updated in 1998 and 2010 • Can be implemented in HTML using the syntax: <a href='mailto:email@example.com'>Send email</a> • Supports additional email parameters like subject, CC, and body through URL encoding • Allows specification of multiple email addresses in a single mailto link • Potential security risk exists due to email address harvesting by automated robots • The first header in a mailto link must use a question mark (?), with subsequent headers using ampersands (&) • Address obfuscation techniques like JavaScript masking can help mitigate spam risks, though not completely eliminate them","National conventions for writing telephone numbers","High-altitude adaptation in humans","Mailto","2024 Rolex Shanghai Masters – Singles","3","National conventions for writing telephone numbers","171","High-altitude adaptation in humans","111","2024 Rolex Shanghai Masters – Singles","184","318"
"7","Platypus venom","• The platypus is one of the few living mammals that produces venom, which is made in crural glands connected to hollow spurs on the hind legs of males only. • Venom production increases during mating season and is theorized to be used for asserting dominance and controlling territory rather than for hunting prey. • The venom contains at least 19 peptides and uniquely includes a D-amino acid - the only known example of this in mammalian systems. • While not lethal to humans, platypus venom causes excruciating pain that can last for weeks or months and does not respond to morphine treatment. • The venom can cause temporary paralysis in smaller animals and produces effects including lowered blood pressure, increased blood flow, and severe swelling around the wound. • Female platypuses have only rudimentary spur buds that drop off in their first year and lack functional venom glands. • The platypus represents an ancient mammalian trait rather than a unique evolution - many archaic mammal groups had similar venomous spurs. • The moveable spur can articulate at right angles to the limb, allowing a greater range of attack than a fixed spur would permit.","Panorpida","Woodcock","Platypus venom","Pseudomonas fluorescens","3","Panorpida","219","Pseudomonas fluorescens","110","Woodcock","222","191"
"8","M-ary tree","• An m-ary tree is a tree structure where each node has no more than m children, with binary trees (m=2) and ternary trees (m=3) being common examples. • The maximum depth of an m-ary tree is bounded by Big-Ω notation, though the specific formula details are referenced but not fully provided in the text. • M-ary trees can be traversed using pre-order, post-order, and in-order methods, with in-order traversal requiring division of children into 'left' and 'right' subtrees when m > 2. • Any m-ary tree can be converted to a binary tree by linking sibling nodes together and keeping only the parent-to-leftmost-child connections, which increases height by only a constant factor. • M-ary trees can be stored in arrays using breadth-first order, where a node at index i has its c-th child at index formula_12 and parent at index formula_13, with space complexity of formula_14. • Pointer-based storage uses internal arrays in each node to store pointers to children, offering superior space complexity of formula_16 compared to array-based implementation. • M-ary trees can be enumerated using bit sequence representations and 'Simple Zero Sequence' methods, which allow systematic generation of all possible tree structures. • A valid simple zero sequence must satisfy the constraint that the number of zeros cannot exceed the total number of null pointers available in the tree structure. • Converting m-ary trees to binary trees is often preferred because array representation of m-ary trees is inefficient due to sparse arrays with large unused memory space.","Lactic acid","M-ary tree","Periodate","Proto-Indo-Aryan language","2","Lactic acid","143","Proto-Indo-Aryan language","117","Periodate","220","604"
"9","Polyphenol","Here are the key facts about Polyphenols: • Polyphenols are a large family of naturally occurring phenols that are abundant in plants and structurally diverse • They include several classes of compounds such as phenolic acids, flavonoids, tannic acid, and ellagitannin, which have historically been used as dyes and for tanning garments • The term 'polyphenol' derives from Ancient Greek, referring to molecules with multiple hydroxyl groups on aromatic rings • Polyphenols are typically characterized by: - Molecular weight limit of about 800 daltons - Ability to rapidly diffuse across cell membranes - Reactive toward oxidation, making them potential antioxidants • They are mainly found in fruit skins and seeds, with black tea containing up to 20% polyphenols by weight • Polyphenols can readily react with metal ions to form coordination complexes • Extraction methods include various solvents like water, methanol, and techniques such as ultrasonic extraction, microwave-assisted extraction, and high-pressure liquid extraction • Analysis techniques for polyphenols include: - Spectroscopy - High-performance liquid chromatography (HPLC) - Mass spectrometry - Nuclear magnetic resonance • Quantification can be done through volumetric titration or colorimetric measurements","PG5 (molecule)","List of Rhyparochrominae genera","LSM-775","Polyphenol","4","List of Rhyparochrominae genera","159","LSM-775","134","PG5 (molecule)","150","829"
"10","List of bird extinctions by year","Here are the key facts from the Wikipedia article on bird extinctions by year: • The article covers bird extinctions from the 15th to 19th centuries, with a significant focus on species from islands like New Zealand, Mauritius, Réunion, and the Caribbean • Many extinct bird species are from isolated island ecosystems, suggesting vulnerability of endemic species to environmental changes and human intervention • The 17th century saw notable extinctions including the famous dodo (1662) and several species from the Mascarene Islands • Moa species from New Zealand, including multiple giant moa varieties, went extinct in the 15th and 16th centuries • Some extinct species are marked as hypothetical (H), indicating limited scientific evidence of their existence • The Great Auk, a flightless seabird, went extinct in 1852, marking a significant loss in marine bird biodiversity • Island-specific bird families like rails, parrots, and pigeons were particularly susceptible to extinction • The 19th century saw extinctions accelerate, with numerous bird species disappearing, especially from Pacific and Caribbean islands • Human activities like hunting, habitat destruction, and introduction of invasive species likely contributed to many of these extinctions • The list includes extinctions of entire bird genera and subspecies, representing a significant loss of biological diversity","Analytical profile index","Lyssavirus","List of bird extinctions by year","Common Alerting Protocol","3","Lyssavirus","120","Common Alerting Protocol","235","Analytical profile index","160","274"
"11","Walliserops","Here are the key facts about Walliserops: • Walliserops is a genus of spinose phacopid trilobite from the Acastidae family, found in Lower to Middle Devonian rocks in Morocco's Anti-Atlas Mountains • All species of Walliserops have a distinctive three-pronged 'trident' that protrudes from the glabella (front part of the head) • Three described species exist: W. trifurcatus, W. hammii, and W. tridens, all discovered near Foum Zguid in southern Morocco • The genus is characterized by unusual asymmetrical features, with variations in spine curvature and positioning that are likely genetically controlled • The function of the trident is not definitively known, but current theories suggest it may have served a purpose similar to beetle horns, potentially for sexual display or competition • The trident's development would have required significant energy expenditure, indicating its probable important biological function • Sexual dimorphism is suspected but not conclusively proven, as no definitive evidence of sexual differences has been established in trilobite exoskeletons • Walliserops is most closely related to the genus Comura, another trilobite genus from the same geological period","Cooperative eye hypothesis","Post Office Protocol","Walliserops","Lexical–gustatory synesthesia","3","Post Office Protocol","239","Cooperative eye hypothesis","148","Lexical–gustatory synesthesia","244","266"
"12","Debye–Waller factor","Here are the key facts about the Debye–Waller factor: • The Debye–Waller factor (DWF) describes the attenuation of x-ray and neutron scattering caused by thermal motion in materials • It is named after physicists Peter Debye and Ivar Waller, and is also known as the B-factor or temperature factor • The DWF depends on the scattering vector and represents the fraction of elastic scattering in a material • In crystallography, the DWF helps explain how thermal vibrations of atoms affect the intensity of diffraction patterns • For a given material, the factor can be mathematically expressed using the mean squared displacement of atoms • In protein structures, B-factors indicate the relative vibrational motion of different parts of the structure - Low B-factors suggest a well-ordered structure - High B-factors indicate more flexible or mobile parts of the structure • The concept applies to both classical and quantum mechanical descriptions of atomic motion • The DWF is typically measured in units of Å² (square Angstroms) • It is used in various scientific fields, including condensed matter physics, crystallography, and structural biology","Bornean orangutan","Debye–Waller factor","International Code of Nomenclature for algae, fungi, and plants","Fag bomb","2","Bornean orangutan","152","International Code of Nomenclature for algae, fungi, and plants","233","Fag bomb","164","711"
"13","Durvalumab","Here are the key facts about Durvalumab: • Durvalumab is an anti-cancer medication (brand name Imfinzi) developed by Medimmune/AstraZeneca, classified as an immune checkpoint inhibitor • It is a human monoclonal antibody that blocks the interaction of programmed cell death ligand 1 (PD-L1) • FDA approved in May 2017 for medical use in the United States, and in the European Union in September 2018 • Approved for treating multiple types of cancer, including: - Urothelial carcinoma - Non-small cell lung cancer - Small cell lung cancer - Biliary tract cancer - Endometrial cancer - Muscle invasive bladder cancer • The PACIFIC clinical trial demonstrated significant improvements in progression-free survival for stage III non-small cell lung cancer patients: - Median progression-free survival increased from 5.6 to 16.8 months - 12-month progression-free survival rate increased from 35.3% to 55.9% • Used in combination with various chemotherapy drugs, including etoposide, carboplatin, cisplatin, gemcitabine, and paclitaxel • Administered as both neoadjuvant (before surgery) and adjuvant (after surgery) treatment in some cancer types","Testosterone","Durvalumab","Twist Bioscience","Diet and cancer","2","Testosterone","105","Diet and cancer","179","Twist Bioscience","152","816"
"14","Simmons' citrate agar","Here are the key facts about Simmons' citrate agar: • Developed by James S. Simmons in 1926 as a modification of Koser's citrate agar, adding agar and bromothymol blue as a pH indicator • Used to differentiate gram-negative bacteria, particularly in the Enterobacteriaceae family, based on their ability to use citrate as a carbon source • Commonly applied in monitoring food and water for fecal contamination, especially distinguishing between fecal and non-fecal coliforms • Contains key ingredients including sodium citrate, ammonium dihydrogen phosphate, and bromothymol blue, which changes color from green to blue when pH increases • Bacteria that can use citrate metabolize it by breaking it down into acetate, oxaloacetate, carbon dioxide, and pyruvate • Often used in slant or slope test tube formats to provide better oxygen access for citrate metabolism • Positive results are indicated by: - Bacterial growth on the medium - Color change from green to blue - Ability to use citrate as the sole carbon source and ammonium salt as the sole nitrogen source • Can help distinguish between different species within the same genus, such as different Salmonella species • Serves as part of the IMViC tests used to identify coliforms","Mononykus","Simmons' citrate agar","Macrobiotic diet","Lymphocyte","2","Mononykus","186","Lymphocyte","174","Macrobiotic diet","197","103"
"15","Maywand District murders","Here are the key facts about the Maywand District murders: • The murders were committed by U.S. Army soldiers from the 3rd Platoon, Bravo Company, 2nd Battalion, 1st Infantry Regiment between January and May 2010 in Afghanistan's Kandahar Province • The soldiers, who called themselves the 'Kill Team', murdered at least three unarmed Afghan civilians, including a 15-year-old boy named Gul Mudin • Staff Sergeant Calvin Gibbs was the ringleader and was sentenced to life in prison for three counts of premeditated murder • The soldiers staged the killings to make them appear like combat encounters, and they collected body parts (such as fingers) as trophies • Eleven of the twelve soldiers charged were ultimately convicted of crimes, with punishments ranging from 3 to 24 years in prison • The murders were exposed after Private First Class Justin Stoner reported the incidents to his superiors • The victims were killed in different locations in the Maywand District, including the villages of La Mohammad Kalay and Kari Kheyl • Some of the victims were reportedly mentally disabled or unarmed civilians, killed in cold blood • Der Spiegel and Rolling Stone published photos of the soldiers posing with corpses and mutilated body parts, drawing comparisons to the Abu Ghraib prisoner abuse scandal","Cardiolipin","Nectria cinnabarina","Lycoperdon umbrinum","Maywand District murders","4","Nectria cinnabarina","141","Lycoperdon umbrinum","112","Cardiolipin","149","777"
"16","Marburg virus disease","Here are the key facts about Marburg virus disease: • Marburg virus disease (MVD) is a viral hemorrhagic fever that affects humans and non-human primates, caused by two viruses: Marburg virus (MARV) and Ravn virus (RAVV) • Egyptian fruit bats are believed to be the natural carriers of the virus, with transmission likely occurring through contact with bat-infested caves or bat excrement • The disease is characterized by symptoms including skin rash, red/purple spots, bruises, and hematomas, but death is primarily caused by multiple organ dysfunction syndrome, not blood loss • Human-to-human transmission occurs through direct contact with infected bodily fluids, with only 11 recorded outbreaks between 1975 and 2011 • MVD is clinically very similar to Ebola virus disease and can be easily confused with many other tropical diseases, making accurate diagnosis challenging • The most important diagnostic indicators include patient medical history, travel history, and potential wildlife exposure • Diagnosis is typically confirmed through RT-PCR and antigen-capture ELISA tests, which can be performed in field or mobile laboratories • The virus is endemic to arid woodlands in equatorial Africa, with most infections associated with people visiting caves or working in mines • Unlike Ebola, specific triggering factors for human transmission of Marburg virus have not yet been definitively identified","SARS-CoV-2","Hashimoto's encephalopathy","Poisson regression","Marburg virus disease","4","Hashimoto's encephalopathy","185","SARS-CoV-2","180","Poisson regression","232","717"
"17","Tocotrienol","Here are the key facts about Tocotrienols: • Tocotrienols are a type of vitamin E compound derived from plants, existing in four isomers (alpha, beta, gamma, delta) • They are naturally found in foods like palm oil, rice bran oil, barley, oats, and certain seeds and nuts • Tocotrienols differ from tocopherols by having three unsaturated isoprenoid double bonds in their side chain, compared to tocopherols' saturated side chain • They function as antioxidants by donating hydrogen atoms to free radicals and reactive oxygen species • Some research suggests potential benefits for cognitive function, particularly in middle-aged and elderly populations • Studies have linked tocotrienols to improved biomarkers for inflammation and cardiovascular disease, though clinical outcomes require more research • They were first discovered in 1964, isolated from rubber, with significant research emerging in the late 1980s and early 1990s • Tocotrienols are considered safe, with human studies showing no adverse effects when consuming up to 240 mg/day for 48 months • Their lipophilic nature allows better tissue penetration compared to tocopherols, potentially enhancing their antioxidant properties • Absorption is best when taken with a fat-rich diet and primarily occurs in the small intestine","Insulin degludec","Health effects of snus","Tocotrienol","BLOSUM","3","BLOSUM","108","Health effects of snus","121","Insulin degludec","185","227"
"18","Hypothetical types of biochemistry","• All known life on Earth uses carbon compounds for structure and metabolism, water as a solvent, and DNA/RNA for genetic control, but alternative biochemistries are scientifically viable though unproven. • Silicon has been the most discussed alternative to carbon because it's in the same periodic table group and is tetravalent, but it has significant drawbacks including being 10 times less cosmically abundant and forming weaker chemical bonds. • Alternative solvents to water could include ammonia (a polar molecule like water) and non-polar hydrocarbon solvents like methane and ethane, which exist in liquid form on Saturn's moon Titan. • A 'shadow biosphere' is a hypothetical microbial ecosystem on Earth that uses radically different biochemical processes than known life and may remain undetected because microbial exploration focuses on macro-organism biochemistry. • Alternative-chirality biochemistry would use opposite molecular orientations (L-amino acids instead of D-amino acids, D-sugars instead of L-sugars) and would be incompatible with normal Earth life. • Carl Sagan coined the term 'carbon chauvinism' to describe the assumption that carbon-based life is universal, arguing that silicon and germanium could be conceivable alternatives despite carbon's greater chemical versatility. • Silicon compounds are problematic for life because they react rapidly with water, long-chain silicon molecules spontaneously decompose, and most terrestrial silicon is 'locked up' in stable silica rather than diverse biological precursors. • The topic of alternative biochemistries is relevant to synthetic biology research and extraterrestrial life detection, informed by knowledge of alien environments and chemical behavior of various elements.","Apache ZooKeeper","Gracilaria","Alcohol-induced respiratory reactions","Hypothetical types of biochemistry","4","Alcohol-induced respiratory reactions","156","Apache ZooKeeper","242","Gracilaria","200","50"
