hit_id,base_topic,topic_a,topic_a_rank,topic_b,topic_b_rank,bucket_pair,closer_shown_as
0,Pacific Ocean,Demographics of Oceania,95,List of fishes of Hawaii,139,50-100_vs_100-250,A
1,Telescope,Mount John University Observatory,853,Vector database,47,10-50_vs_500-1000,B
2,Bacteria,Bifidobacterium adolescentis,97,Actinomyces,390,50-100_vs_250-500,A
3,Solar system,Planet,19,Hot Jupiter,430,10-50_vs_250-500,A
4,Prime number,P-adic number,55,Lexicographic order,580,50-100_vs_500-1000,A
5,Democracy,Concordance system,334,Islam and democracy,36,10-50_vs_250-500,B
6,Magnetism,List of physical quantities,9,Troilite,289,1-10_vs_250-500,A
7,Probability,Bag-of-words model,13,New riddle of induction,316,10-50_vs_250-500,A
8,Continent,Volcanic Seven Summits,127,Geography of Europe,10,10-50_vs_100-250,B
9,World War II,Western Australian emergency of March 1944,54,Ukrainian collaboration with Nazi Germany,580,50-100_vs_500-1000,A
10,Amazon rainforest,Fauna of the Amazon rainforest,1,Search engine indexing,180,1-10_vs_100-250,A
11,Algebra,Boolean algebra (structure),99,Length of a module,223,50-100_vs_100-250,A
12,Geometry,Congruence (geometry),55,Golden ratio,175,50-100_vs_100-250,A
13,Earthquake,List of destroyed heritage,355,Igneous textures,522,250-500_vs_500-1000,A
14,Light,Web colors,182,Library,421,100-250_vs_250-500,A
15,Chemical reaction,Standard enthalpy of reaction,5,Life on Titan,367,1-10_vs_250-500,A
16,Nile,Elephantine,23,Meroë,6,1-10_vs_10-50,B
17,Democracy,2008 Serbian presidential election,302,Types of democracy,13,10-50_vs_250-500,B
18,DNA,Monodnaviria,178,Cytosine,65,50-100_vs_100-250,B
19,Ancient Rome,Campaign history of the Roman military,2,Siculian,412,1-10_vs_250-500,A
20,French Revolution,Louis XVI and the Legislative Assembly,4,Fédéré,56,1-10_vs_50-100,A
21,Automobile,Vehicle registration plates of Singapore,357,Sedan (automobile),2,1-10_vs_250-500,B
22,Calculus,Vaghela dynasty,2,Polynomial,252,1-10_vs_250-500,A
23,Galileo Galilei,Discourse on Comets,26,List of impact structures on Earth,892,10-50_vs_500-1000,A
24,Isaac Newton,Absolute space and time,56,Newton's cannonball,12,10-50_vs_50-100,B
25,Magnetism,Curie temperature,134,Metallicity,942,100-250_vs_500-1000,A
26,Communism,Reserve army of labour,543,Rape during the liberation of Serbia,69,50-100_vs_500-1000,B
27,Iron,Magnetochemistry,71,Bag-of-words model,44,10-50_vs_50-100,B
28,Brain,Deep cerebellar nuclei,74,Encoding (memory),17,10-50_vs_50-100,B
29,Mahatma Gandhi,List of people who have declined or renounced Indian honours and decorations,647,Preamble to the Constitution of India,64,50-100_vs_500-1000,B
30,Great Barrier Reef,AHS Centaur,602,Mesoamerican Barrier Reef System,4,1-10_vs_500-1000,B
31,Printing press,Woodcut,260,Pilcrow,247,100-250_vs_250-500,B
32,Airplane,List of passenger airlines,118,List of accidents and incidents involving the Lockheed C-130 Hercules,265,100-250_vs_250-500,A
33,Television,1978–79 United States network television schedule (daytime),284,1967–68 United States network television schedule,37,10-50_vs_250-500,B
34,Black hole,Gravitational singularity,25,Spiral galaxy,564,10-50_vs_500-1000,A
35,Black hole,Action principles,376,Eddington experiment,518,250-500_vs_500-1000,A
36,World War II,Consequences of Nazism,140,List of United States Army campaigns during World War II,38,10-50_vs_100-250,B
37,Internet,Cognitive models of information retrieval,89,DNS root zone,878,50-100_vs_500-1000,A
38,Capitalism,Intensification of the class struggle under socialism,297,History of communism,71,50-100_vs_250-500,B
39,European Union,Accession of Bosnia and Herzegovina to the European Union,4,Copyright law of the European Union,203,1-10_vs_100-250,A
40,Calculus,Differentiation rules,4,Discrete exterior calculus,142,1-10_vs_100-250,A
41,Charles Darwin,Orcinus paleorca,149,Georges Cuvier,46,10-50_vs_100-250,B
42,Brain,Magnetic resonance imaging,836,Striatum,100,100-250_vs_500-1000,B
43,United Nations,Trie,686,List of current permanent representatives to the United Nations,5,1-10_vs_500-1000,B
44,Volcano,Obsidian use in Mesoamerica,161,Eruption column,55,50-100_vs_100-250,B
45,Glacier,Glacier Peak,87,Last Glacial Period,37,10-50_vs_50-100,B
46,Electricity,Kite experiment,382,Coil winding technology,220,100-250_vs_250-500,B
47,Charles Darwin,Darwin from Insectivorous Plants to Worms,1,Ascension Parish Burial Ground,64,1-10_vs_50-100,A
48,Climate change,Ecosystem collapse,283,Extinction risk from climate change,5,1-10_vs_250-500,B
49,Hydrogen,Spin ice,85,Area density,891,50-100_vs_500-1000,A
50,Speed of light,Faster-than-light,4,Axis of evil (cosmology),636,1-10_vs_500-1000,A
51,Atom,Canonical form,182,Isotopes of iron,404,100-250_vs_250-500,A
52,Telephone,Lists of films,46,Medical emergency,985,10-50_vs_500-1000,A
53,Capitalism,Marxian economics,120,Anarchism and issues related to love and sex,403,100-250_vs_250-500,A
54,Nile,Great Bitter Lake,39,Mizraim,333,10-50_vs_250-500,A
55,Earthquake,2024 Hualien earthquake,20,Fukushima nuclear accident (Unit 3 Reactor),659,10-50_vs_500-1000,A
56,Democracy,2024 Algerian presidential election,441,Participatory democracy,44,10-50_vs_250-500,B
57,Moon landing,Charles Duke,659,2023 Chinese balloon incident,140,100-250_vs_500-1000,B
58,Cold War,Violet Club,389,Square Leg,693,250-500_vs_500-1000,A
59,Gravity,Mass versus weight,7,Gal (unit),48,1-10_vs_10-50,A
60,Hydrogen,Heme,219,Fluoride,426,100-250_vs_250-500,A
61,Atom,List of chemical elements,6,Rydberg constant,77,1-10_vs_50-100,A
62,Prime number,Dirichlet's theorem on arithmetic progressions,8,Prime omega function,85,1-10_vs_50-100,A
63,Mineral,List of minerals,3,Streak (mineralogy),42,1-10_vs_10-50,A
64,Galileo Galilei,Contents of the Voyager Golden Record,67,List of Gloster Gladiator operators,242,50-100_vs_100-250,A
65,Brain,Disabilities affecting intellectual abilities,712,Lateral ventricles,169,100-250_vs_500-1000,B
66,Prime number,Suffix tree,535,P-adic valuation,33,10-50_vs_500-1000,B
67,Communism,Political system,330,Political repression in the Soviet Union,9,1-10_vs_250-500,B
68,Continent,Languages of Asia,103,List of orogenies,9,1-10_vs_100-250,B
69,Human rights,Human Rights Association (Turkey),62,Constitution of El Salvador,325,50-100_vs_250-500,A
70,Albert Einstein,Classical element,409,Einstein coefficients,18,10-50_vs_250-500,B
71,Periodic table,Isotopes of nobelium,207,Atomic orbital,50,50-100_vs_100-250,B
72,Telephone,Telephone jack and plug,218,Emergency service response codes,984,100-250_vs_500-1000,A
73,Communism,Music of the Soviet Union,677,July Theses,12,10-50_vs_500-1000,B
74,Supreme Court of the United States,Ideological leanings of United States Supreme Court justices,7,List of law clerks of the Supreme Court of the United States (Seat 8),47,1-10_vs_10-50,A
75,NATO,Igor Britanov,192,Participants in Operation Enduring Freedom,77,50-100_vs_100-250,B
76,Virus,Bacteriophage,65,Mumps virus,8,1-10_vs_50-100,B
77,Climate change,Climate change in Africa,4,Climate change in Tuvalu,19,1-10_vs_10-50,A
78,Nuclear energy,National Ignition Facility,512,Spent nuclear fuel,4,1-10_vs_500-1000,B
79,Geometry,Standard basis,526,List of centroids,44,10-50_vs_500-1000,B
80,Industrial Revolution,Chinese character radicals,681,Steam power during the Industrial Revolution,2,1-10_vs_500-1000,B
81,Industrial Revolution,Information retrieval,35,List of inventions in the medieval Islamic world,435,10-50_vs_250-500,A
82,Oxygen,String-searching algorithm,114,Document retrieval,3,1-10_vs_100-250,B
83,Gold,Nazi gold,22,Wreaths and crowns in antiquity,929,10-50_vs_500-1000,A
84,Antarctica,List of Antarctic flags,6,South Pole Traverse,41,1-10_vs_10-50,A
85,Chemical reaction,Magic acid,582,Standard enthalpy of reaction,5,1-10_vs_500-1000,B
86,Atom,Molar ionization energies of the elements,41,Quantum mechanics,257,10-50_vs_250-500,A
87,Infinity,Johor Bahru–Singapore Rapid Transit System,8,Query language,19,1-10_vs_10-50,A
88,Hydrogen,List of compounds with carbon number 1,29,Hydroperoxyl,82,10-50_vs_50-100,A
89,Human heart,List of incidents of cannibalism,245,Blood cell,485,100-250_vs_250-500,A
90,Great Barrier Reef,Giant cuttlefish,166,List of lighthouses in Australia,38,10-50_vs_100-250,B
