hit_id,question_id,question_text,option_a,option_b,option_c,option_d,correct_answer,condition,facts_json,semantic_distance,distance_bucket
0,4425,What is the primary reason sports cars benefit from having a lower center of mass compared to SUVs?,It increases maximum speed on straightaways,It reduces body lean during turns and rollover risk,It improves fuel efficiency,It allows for larger engine compartments,B,with_facts,"""\u2022 **Automobile handling** describes how a wheeled vehicle responds to driver inputs and moves along roads, commonly judged during cornering, acceleration, braking, and directional stability in steady-state conditions.\n\n\u2022 **Handling and braking are major components of \""active\"" safety** in vehicles and directly affect performance in auto racing, with maximum lateral acceleration being a key measure of road holding ability.\n\n\u2022 **Centre of mass height determines load transfer** - higher centers of gravity cause more body lean during turns and can lead to rollover in extreme circumstances, which is why sports cars benefit from lower centers of mass compared to sedans and SUVs.\n\n\u2022 **Weight distribution affects steering characteristics** - front-heavy cars tend to understeer while rear-heavy cars tend to oversteer, with mid-engine designs seeking to achieve ideal balance for optimal cornering performance.\n\n\u2022 **Sports and racing cars typically use rearward weight distribution** (40/60 to 35/65 ratio) rather than 50/50 to reduce understeer during corner entry, as this helps front tires overcome the car's rotational inertia.\n\n\u2022 **Angular inertia affects vehicle responsiveness** - roll angular inertia increases settling time after steering inputs, while yaw angular inertia makes vehicles slower to change direction and return to straight-line driving.\n\n\u2022 **Vehicle dimensions impact handling performance** - greater width increases angular inertia (hurting handling), while shorter vehicles generally have better rotational characteristics than longer ones.\n\n\u2022 **Lightweight materials in specific locations improve handling** - using light materials for bumpers, fenders, and roofs reduces angular inertia without requiring major design changes to vehicle proportions.""",5,1-5
1,4533,What is the key difference between biological and metallurgical microscope objectives?,Biological objectives have higher magnification than metallurgical objectives,"Biological objectives are designed for transmitted light with cover slips, while metallurgical objectives are designed for reflected light without cover slips",Biological objectives use infinity correction while metallurgical objectives use fixed tube length,Biological objectives have lower numerical aperture than metallurgical objectives,B,without_facts,,1,1-5
2,3129,Which type of UEFA coefficient was discontinued after 2017?,Association coefficient,Club coefficient,National team coefficient,Performance coefficient,C,with_facts,"""\u2022 UEFA coefficients are weighted arithmetic mean statistics used for ranking and seeding teams in European club and international competitions, introduced in 1979 for men's football.\n\n\u2022 Three types of coefficients are calculated: National team coefficient (discontinued after 2017), Association coefficient (ranks countries' collective club performance), and Club coefficient (ranks individual clubs since 1990).\n\n\u2022 Association coefficients determine how many teams from each country qualify for the Champions League, Europa League, and Conference League, based on clubs' performance over the past five seasons.\n\n\u2022 Points are awarded as follows: 2 points for a win, 1 point for a draw (halved in qualifying rounds), plus bonus points for reaching various stages like round of 16 (5 points) or winning competitions (4 points).\n\n\u2022 Rankings determine team allocations for the season after next, not the immediately following season (e.g., 2022-23 rankings determine 2024-25 allocations).\n\n\u2022 The top 4 associations get four automatic Champions League spots each, while lower-ranked associations receive fewer spots and must go through qualifying rounds.\n\n\u2022 Countries need at least eight active clubs in their national league to be eligible for European competition spots, which excludes Liechtenstein (only 7 clubs).\n\n\u2022 Two additional \""European Performance Spots\"" in the Champions League are awarded annually to the associations with the highest coefficients from the previous season.""",750,601-1000
3,3861,Which statement best describes Rand Paul's alternative medical certification system?,The National Board of Ophthalmology was widely recognized and still operates today,He created it in 2009 and it was endorsed by major medical organizations,"He established it in 1999 as an alternative system, but it lacked recognition and was dissolved in 2011",It was created to replace the existing ophthalmology certification system permanently,C,without_facts,,750,601-1000
4,3150,What was Mauritania's Freedom House human rights rating in 2022?,35 out of 100 (partly free),50 out of 100 (partly free),25 out of 100 (not free),65 out of 100 (free),A,with_facts,"""\u2022 **Poor human rights rating**: Freedom House rated Mauritania's human rights at 35 out of 100 (partly free) in 2022, with international observers consistently describing the country's human rights situation as poor.\n\n\u2022 **No religious freedom**: Mauritania is a highly centralized Islamic Republic with no legal provisions for freedom of religion.\n\n\u2022 **Ethnic discrimination**: The government has a history of discriminating against southern black populations (Toucouleurs and Soninke people), including imprisoning southerners and removing them from the Army in 1987, which led to the Mauritania-Senegal Border War.\n\n\u2022 **Systematic torture**: Amnesty International has accused the Mauritanian government of institutionalized and continuous use of torture for decades, with methods including beatings, electric shocks, sexual violence, and the \""jaguar position\"" (suspension torture).\n\n\u2022 **Harsh prison conditions**: Prisons suffer from severe overcrowding, poor sanitation, malnutrition, lack of medical care, and inadequate ventilation, with many prisoners unable to leave their cells or breathe fresh air for months or years.\n\n\u2022 **Legal system failures**: Amnesty International has accused the Mauritanian legal system of operating with complete disregard for legal procedure, fair trials, and humane imprisonment.\n\n\u2022 **Pretrial detention issues**: As of 2011, nearly half of the prison population (834 out of 1,695) consisted of unconvicted detainees, contributing to overcrowding and housing them with dangerous convicted prisoners.\n\n\u2022 **Police violence**: In 2011, a gendarme killed one demonstrator and wounded eight others during protests about voter registration discrimination, with no reported investigation by year's end.""",5,1-5
5,1245,What distinguishes the Cook Islands and Niue from other territories in Oceania?,They are federal territories of Australia,They are in free association with New Zealand while maintaining treaty-making capacity,They are associate members of the Pacific Islands Forum,They are located on the Australian continental shelf,B,without_facts,,50,26-50
6,2103,What happens to binary systems as they orbit each other according to general relativity?,They gain energy and angular momentum from the surrounding spacetime,They lose energy and angular momentum by emitting gravitational radiation,Their orbital parameters remain constant over time,They convert gravitational potential energy into electromagnetic radiation,B,with_facts,"""\u2022 The two-body problem in general relativity involves determining the motion and gravitational field of two bodies using Einstein's field equations, which are nonlinear and difficult to solve exactly.\n\n\u2022 No exact solutions exist for the relativistic Kepler problem, but the Schwarzschild solution provides a good approximation when one mass is much larger than the other (such as a planet orbiting the Sun).\n\n\u2022 The Schwarzschild solution successfully explains the anomalous precession of Mercury's orbit, which was key evidence supporting general relativity theory.\n\n\u2022 In the Schwarzschild approximation, the lighter body follows a geodesic (shortest path) through the curved spacetime created by the more massive body.\n\n\u2022 For binary systems where both masses contribute significantly to the gravitational field, only approximate solutions are possible using methods like post-Newtonian expansion or numerical computation.\n\n\u2022 Binary systems lose energy and angular momentum by emitting gravitational radiation as they orbit each other, as demonstrated by observations of the binary pulsar PSR B1913+16.\n\n\u2022 The numerical solution for binary black holes was finally achieved in 2005 after four decades of research, when three groups developed breakthrough computational techniques.\n\n\u2022 Solutions to the relativistic two-body problem are essential for calculating light bending by gravity and predicting gravitational wave emissions from binary systems.""",100,51-100
7,3194,What was the key difference between the Bush administration's explanation of the Abu Ghraib abuses and the position taken by humanitarian organizations?,"The administration claimed the abuses were isolated incidents, while humanitarian organizations argued they were part of a broader pattern","The administration denied any abuses occurred, while humanitarian organizations provided evidence they did","The administration blamed foreign insurgents for the abuses, while humanitarian organizations blamed US personnel","The administration claimed the abuses were legal under US law, while humanitarian organizations argued they violated only international law",A,without_facts,,250,201-350
8,5500,What milestone did the 2024 Supercopa de España represent in the tournament's history?,It was the 39th edition of the competition,It was the 40th edition of the competition,It was the 41st edition of the competition,It was the 50th edition of the competition,B,with_facts,"""\u2022 The 2024 Supercopa de Espa\u00f1a was the 40th edition of Spain's annual football competition for clubs successful in major competitions from the preceding season.\n\n\u2022 Real Madrid won the tournament, claiming their thirteenth Supercopa de Espa\u00f1a title.\n\n\u2022 The tournament featured four teams: winners and runners-up from the 2022\u201323 Copa del Rey and 2022\u201323 La Liga, with the third-place league team filling the final spot when a top-two league finisher also reached the cup final.\n\n\u2022 All three matches were played at the King Saud University Stadium in Riyadh, Saudi Arabia.\n\n\u2022 The competition used a semi-final and final format with four participating teams.\n\n\u2022 Match times were scheduled in Saudi Arabia Standard Time (SAST, UTC+3).""",500,351-600
9,53,What percentage of South Tyrol's population were German speakers when Italy annexed the region in 1919?,Nearly 70%,Approximately 80%,Almost 90%,About 95%,C,without_facts,,750,601-1000
