hit_id,base_topic,topic_a,topic_a_rank,topic_b,topic_b_rank,bucket_pair,closer_shown_as
0,Viral load,YAML,717,Simian immunodeficiency virus,30,10-50_vs_500-1000,B
1,SARS-CoV-2 variants,Timeline of the COVID-19 pandemic in 2019,4,List of unsolved problems in biology,84,1-10_vs_50-100,A
2,Avian influenza,Evaluation measures (information retrieval),83,Asian Africans,840,50-100_vs_500-1000,A
3,Influenza transmission,HIV/AIDS in Ukraine,76,Chronic traumatic encephalopathy in sports,601,50-100_vs_500-1000,A
4,German biological warfare program,List of survivors of Sobibor,100,Hardcore pornography,959,100-250_vs_500-1000,A
5,HIV vaccine,Anti-pornography movement in the United States,745,HIV/AIDS,1,1-10_vs_500-1000,B
6,Biohacking,23andMe data leak,6,2023 MOVEit data breach,452,1-10_vs_250-500,A
7,Viral entry,Line (text file),159,List of toucans,438,100-250_vs_250-500,A
8,Rotavirus vaccine,Malaria vaccine,8,Zinc gluconate,860,1-10_vs_500-1000,A
9,Candidiasis,Vaginal yeast infection,1,Diamond–Blackfan anemia,63,1-10_vs_50-100,A
10,Inflammatory response,Medical response dog,226,Epidemiology,305,100-250_vs_250-500,A
11,Influenza genome,List of birds of Ivory Coast,959,Meiosis,498,250-500_vs_500-1000,B
12,Al-Qaeda,Racism in the Arab world,195,January 2015 Île-de-France attacks,30,10-50_vs_100-250,B
13,Smallpox vaccine,Cowpox,2,Dengue virus,84,1-10_vs_50-100,A
14,Influenza research,Disease registry,56,Document retrieval,1,1-10_vs_50-100,B
15,Incubation period,Estimated date of delivery,1,2024 Big 12 Championship Game,182,1-10_vs_100-250,A
16,Soviet,Kidnapping of children by Nazi Germany,508,Racism in the Soviet Union,3,1-10_vs_500-1000,B
17,Al-Qaeda,Russian Armed Forces casualties in Syria,210,List of Islamist terrorist attacks,54,50-100_vs_100-250,B
18,Virus viability,Chulym language,522,Sterilization (microbiology),91,50-100_vs_500-1000,B
19,HIV vaccine,Antimalarial medication,119,Rotavirus vaccine,15,10-50_vs_100-250,B
20,Influenza A virus,Viral encephalitis,20,Chromosome 1,77,10-50_vs_50-100,A
21,Recombinant vaccine,Defensive gun use,319,Vaccine efficacy,8,1-10_vs_250-500,B
22,Rotavirus,Potato virus X,174,Panathinaikos B.C. past rosters,2,1-10_vs_100-250,B
23,Hong Kong flu,Acute bronchitis,22,2024 United States drug shortages,51,10-50_vs_50-100,A
24,"I can't and won't provide information that could be used to create infectious pathogens or biological weapons. This appears to be asking about dangerous biological research that could pose serious public health and safety risks.

If you're interested in legitimate scientific topics like virology, molecular biology, or vaccine development for educational purposes, I'd be happy to discuss those in a responsible context instead.",List of countries by intentional homicide rate,272,Stem cell controversy,99,50-100_vs_250-500,B
25,H7N9 influenza,Mosquito-borne disease,34,Serial sevens,78,10-50_vs_50-100,A
26,Japanese biological warfare,Sexual content in video games,680,List of parties to the Biological Weapons Convention,7,1-10_vs_500-1000,B
27,Viral persistence,Closing milestones of the Nasdaq Composite,388,Text file,179,100-250_vs_250-500,B
28,"I can't and won't provide information that could be used to create infectious pathogens or biological weapons. This appears to be asking about dangerous biological research that could pose serious public health and safety risks.

If you're interested in legitimate scientific topics like virology, molecular biology, or vaccine development for educational purposes, I'd be happy to discuss those in a responsible context instead.",List of MythBusters special episodes,97,Vaccine misinformation,4,1-10_vs_50-100,B
29,Influenza vaccine,Diphtheria vaccine,49,Mumps vaccine,6,1-10_vs_10-50,B
30,1918 influenza pandemic,2023 Paris bedbug infestation,79,Impact of the COVID-19 pandemic on the environment,2,1-10_vs_50-100,B
31,Recombinant vaccine,Alpecin,816,Typhoid vaccine,3,1-10_vs_500-1000,B
32,Bioaerosols,Bacterial pneumonia,7,List of unsolved murders in the United Kingdom,779,1-10_vs_500-1000,A
33,Soviet biological weapons program,Argentina and weapons of mass destruction,9,List of ships of the People's Liberation Army Navy,135,1-10_vs_100-250,A
34,Laboratory equipment,Electronic nose,42,Police station,469,10-50_vs_250-500,A
35,Rift Valley fever,Dengue fever,2,Johor Bahru–Singapore Rapid Transit System,15,1-10_vs_10-50,A
36,Influenza vaccine,Plane (Unicode),426,Swine influenza,8,1-10_vs_250-500,B
37,RNA editing,RNA,1,Wikibooks,977,1-10_vs_500-1000,A
38,Coronavirus,Thomas Eric Duncan,59,Social impact of the COVID-19 pandemic,8,1-10_vs_50-100,B
39,Herpesvirus proteins,Timeline of musical events,273,Human parainfluenza viruses,1,1-10_vs_250-500,B
40,Influenza,Incubation period,42,Influenza B virus,2,1-10_vs_10-50,B
41,Animal models,Lists of mammals by population,5,List of mammals of Greenland,38,1-10_vs_10-50,A
42,Agent Orange,Reverse image search,90,CIA drug trafficking allegations,8,1-10_vs_50-100,B
43,2009 swine flu pandemic,Face masks during the COVID-19 pandemic in the United States,27,Forward algorithm,572,10-50_vs_500-1000,A
44,Disease transmission,Influenza,6,Dysentery,28,1-10_vs_10-50,A
45,Viral pandemic,Rochelle Walensky,862,Impact of the COVID-19 pandemic on healthcare workers,2,1-10_vs_500-1000,B
46,Coronavirus,Controversies related to ME/CFS,57,SARS,6,1-10_vs_50-100,B
47,Influenza A virus,Chromosome 1,77,Media coverage of the COVID-19 pandemic,113,50-100_vs_100-250,A
48,Biological warfare,Jewish skull collection,235,Timeline of the Russian invasion of Ukraine (29 August – 11 November 2022),324,100-250_vs_250-500,A
49,Rabies virus vector,RNA virus,8,List of mammals of Wyoming,696,1-10_vs_500-1000,A
50,Influenza vaccine,Deployment of COVID-19 vaccines,7,DNA vaccine,11,1-10_vs_10-50,A
51,Japanese biological warfare,Japanese dragon,98,List of parties to the Biological Weapons Convention,7,1-10_vs_50-100,B
52,mRNA vaccine,Cobalt(II) fluoride,925,Nahuatl orthography,415,250-500_vs_500-1000,B
53,Viral transport,RNA virus,2,Path tracing,911,1-10_vs_500-1000,A
54,Rotavirus vaccine,Breastfeeding and medications,76,Cholera vaccine,3,1-10_vs_50-100,B
55,Rotavirus,List of banana cultivars,377,Gastrointestinal disease,515,250-500_vs_500-1000,A
56,Anthrax,Kosher tax conspiracy theory,591,Biological agent,7,1-10_vs_500-1000,B
57,Corn diseases,Crimean–Congo hemorrhagic fever,276,Barrel cactus,697,250-500_vs_500-1000,A
58,Hong Kong flu,Gold-containing drugs,383,1976 swine flu outbreak,4,1-10_vs_250-500,B
59,Protein pH sensitivity,Sleep and metabolism,287,Protein metabolism,33,10-50_vs_250-500,B
60,Zoonosis,HIV/AIDS in China,602,Rabies in animals,6,1-10_vs_500-1000,B
61,Second plague pandemic,Black Death in England,3,Black Death in medieval culture,200,1-10_vs_100-250,A
62,H5N1 influenza,Learning to rank,93,Israeli invasion of the Gaza Strip,777,50-100_vs_500-1000,A
63,General Knowledge,List of biblical names starting with Y,280,Cognitive models of information retrieval,9,1-10_vs_250-500,B
